name,link,price,price_currency,mileage,fuel_type,year,gearbox,horsepower,location,image_url,engine_capacity
Volvo XC 40,https://www.otomoto.pl/osobowe/oferta/volvo-xc-40-volvo-xc40-2-0-b3-163-km-aut-plus-dark-ID6Gz9Lf.html,187 900,PLN,3 500 km,Benzyna,2024 ,Automatyczna,163,Częstochowa (Śląskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImUwcjMwNG9mbGlsaTEtT1RPTU9UT1BMIn0.dulU5WjoPmx1B4z1qukzHfmzf5eJ2GljQIcaUKp2xHo/image;s=644x461,1 969 cm3
Ford S-Max 2.0 EcoBlue Trend,https://www.otomoto.pl/osobowe/oferta/ford-s-max-100-pewne-auto-bezpieczny-zakup-z-domu-serwis-ID6GC5q7.html,66 800,PLN,249 000 km,Diesel,2017 ,Manualna,150,Chodzież (Wielkopolskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJ6M3g3N3pydjA1LU9UT01PVE9QTCJ9.ivBK1MdFNf77s3BsINa72IYX5rzQH4KqT05UJWCXegs/image;s=320x240,1 997 cm3
BMW Seria 3 316i Edition Lifestyle,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-bmw-e46-ladny-stan-2003rp-stan-bdb-ID6GC5pz.html,9 900,PLN,225 000 km,Benzyna,2003 ,Manualna,115,Gliwice (Śląskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFzdjF0aG9zamFwbDMtT1RPTU9UT1BMIn0.wJR2QBIugsjK6B8OPpceOEFrl7aWVH5vurmu7BQNxic/image;s=320x240,1 796 cm3
BMW Seria 3 318ti,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-318is-140km-track-day-kjs-ID6GxbAn.html,12 900,PLN,240 000 km,Benzyna,1997 ,Manualna,140,Zgierz (Łódzkie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ing4M2JrYXlzeXNvMjMtT1RPTU9UT1BMIn0.2AeSn9bId0oXGhNf3aU6onXOaHwmRZPdZF7e-f8kcTA/image;s=320x240,1 796 cm3
Mercedes-Benz Klasa C,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-klasa-c-mercedes-benz-c-250-d-ID6GC5hP.html,5 500,PLN,365 009 km,Diesel,1994 ,Manualna,113,Wieliczka (Małopolskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFzOWkzcXNpeGFqZy1PVE9NT1RPUEwifQ.feNG8CYL7UWGdN4Eih3rnZvK4Amxol0_khPW-1iFB5g/image;s=320x240,2 497 cm3
Ford Tourneo Connect 1.5 EcoBlue Titanium PowerShift,https://www.otomoto.pl/osobowe/oferta/ford-tourneo-connect-duza-navi-panorama-kamera-automat-titanium-radar-super-stan-ID6GC5hl.html,58 800,PLN,208 590 km,Diesel,2018 ,Automatyczna,120,Płock (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inc1MzhuNmY5azdlZDEtT1RPTU9UT1BMIn0.vAtSxsifn3YPeJHBMqkU8zdaq-AKqkB6qfno0eUHRCc/image;s=320x240,1 498 cm3
Mitsubishi Lancer,https://www.otomoto.pl/osobowe/oferta/mitsubishi-lancer-mitsubishi-lancer-wygodne-autko-ID6GhErB.html,17 500,PLN,270 472 km,Benzyna+LPG,2009 ,Manualna,143,Biała Podlaska (Lubelskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZ3d3k5ZDV3bnVqYjMtT1RPTU9UT1BMIn0.x5n0uijgtZJFos4qS9G0JOF32LsoB66nWoZkHpq_EU4/image;s=320x240,1 798 cm3
Volvo XC 90,https://www.otomoto.pl/osobowe/oferta/volvo-xc-90-volvo-xc90-2-0-t8-plug-in-455-km-awd-aut-ultimate-dark-ID6Gz4Nq.html,399 900,PLN,12 000 km,Hybryda Plug-in,2024 ,Automatyczna,310,Częstochowa (Śląskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVheG5idnYwMXM1Yy1PVE9NT1RPUEwifQ.QRf23DWS33skDKp7NzZ8EKH4AJoCdNyADLutC9lDjzI/image;s=644x461,1 969 cm3
Volvo XC 40,https://www.otomoto.pl/osobowe/oferta/volvo-xc-40-volvo-xc40-t5-180-82-km-awd-aut-plug-in-r-design-ID6GyEHP.html,154 900,PLN,91 000 km,Hybryda Plug-in,2021 ,Automatyczna,180,Częstochowa (Śląskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVvOGY2YjVmanc5NzMtT1RPTU9UT1BMIn0.ISxERaWp71-RmZ4zrr0E3tdfN2QKCbvO1kGoJsbNgjE/image;s=644x461,1 477 cm3
Mercedes-Benz Klasa E 280 CDI Avantgarde,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-klasa-e-lift-avantgarde-2008-wzorowy-bezwypadkowy-serwisowany-ID6GC5mH.html,21 900,PLN,295 000 km,Diesel,2008 ,Manualna,190,Rzeszów (Podkarpackie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inl2dmoydTJ5bjc4YTMtT1RPTU9UT1BMIn0.t5xjyB2JDElUbPgigW6AI3dnWAyaJ9OFyIk7JnFTvYc/image;s=320x240,2 987 cm3
